id,text,source,reposts_count,comments_count,attitudes_count,isLongText,pic_ids,geo,id,screen_name,verified,verified_reason,verified_type,description,gender,followers_count,follow_count,mbtype,urank,mbrank,statuses_count
4023323945689966,"请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去任意一家银行坐下，告诉工作人员你找不到家人了，工作人员会联系你的家人的。10月1日起，全国银行正式成为中国失联儿童安全守护点！银行就是失散儿童守护人！只要孩子进了银行，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外！真要都接力起来能帮助多少走丢的孩子！<br/>        <br/>      －－这个要转[爱心]大家互相转发一下~ <a data-url=""http://t.cn/R2WxSSz"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4023323945689966&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F1001018008614043100000000"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">长治·沁源县</a>",OPPO R9 Plus,0,0,0,True,[u'006y01Wcjw1f84xhfe55aj30ha0qomz8'],"{u'type': u'Point', u'coordinates': [36.56715, 112.23024]}",5999199868,最帅杨洋喜欢你,False,None,-1,师范大学:想要大穿我们向大大吧！让你美哒哒😍😍😍加QQ395336139,f,94,339,2,13,2,793
4023335635893596,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-8e9a1a0346.png"" style=""width:1em;height:1em;;""></span>请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去任意一家银行坐下，告诉工作人员你找不到家人了，工作人员会联系你的家人。10月1日起，全国银行正式成为中国失联儿童安全守护点！银行就是失散儿童守护人！只要孩子进了银行，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外。 ​",Android,0,5,1,False,[],None,5850930461,射手座性格特性,False,None,-1,"射手座性格特性,让身为射手座的你更了解自己吧！喜欢的,请点击关注,谢谢。",f,70,155,0,12,0,88
4023175237194995,"<a data-url=""http://t.cn/z8AevZ7"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4023175237194995&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F100101B2094652D66AA7F54093"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">揭阳·惠来宾馆</a>[星星][星星][星星][星星]，2016年10月1日起，全国银行正式成为中国失联儿童安全守护点！银行就是失散儿童守护人！只要孩子进了银行，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外！ <a data-url=""http://t.cn/z8AevZ7"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4023175237194995&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F100101B2094652D66AA7F54093"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">揭阳·惠来宾馆</a> ​",iPhone 6 Plus,0,5,1,False,[u'7d09c343gw1f84gc8ybijj20ee0m8tas'],"{u'type': u'Point', u'coordinates': [23.02285, 116.295151]}",2097791811,ljxaa,False,None,-1,,m,270,62,0,14,0,2112
4023196707590891,在外面，找不到爸爸妈妈的时候，不要慌乱，去坐任意一辆公交车，告诉司机你找不到家人了，公交司机会联系你的家人的。10月1日起，全国公交正式成为中国失联儿童安全守护车！公交驾驶员就是失散儿童守护人！只要孩子上了公交车，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外！大爱绽放～请接力 ​,魅蓝 metal,0,0,0,False,[],None,5840573291,美女与野兽的故事521,False,None,-1,心有多大，舞台就有多大。,f,6,67,0,9,0,54
4023194203659226,..请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去任意一家银行坐下，告诉工作人员你找不到家人了，工作人员会联系你的家人的。10月1日起，全国银行正式成为中国失联儿童安全守护点！银行就是失散儿童守护人！只要孩子进了银行，孩子就不会被拐卖或出现意外！ ​,iPhone 6s Plus,0,3,1,False,[],None,5096907632,a风雨中,False,None,-1,无需仰望别人，自己亦是风景～,m,24,195,0,9,0,86
4023334612659741,请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去任意一家银行坐下，告诉工作人员你找不到家人了，工作人员会联系你的家人的。10月1日起，全国银行正式成为中国失联儿童安全守护点！银行就是失散儿童守护人！只要孩子进了银行，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外！真要都接力起来能帮助多少走丢的孩子！,vivo智能手机,4,0,0,True,[],None,5624167436,不可轻信的,False,None,-1,(๑‾᷅^‾᷅๑) 嫌弃你m9(´∀｀)就是你！╭( ′• o •′ )╭☞就是这个人！,f,6,45,2,9,1,73
4023323455518344,"请告诉您的孩子：找不到爸爸妈妈的时候，不要惊慌，去任意一家银行坐下，告诉叔叔阿姨，保安爷爷，你找不到家人了，他们会联系你的家人。10月1日起，全国银行正式成为中国失联儿童安全守护点！银行就是失散儿童守护人！只要孩子进了银行，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外！真要都接力起来能帮助多少走丢的孩子呀<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-ba097f8ec2.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-ba097f8ec2.png"" style=""width:1em;height:1em;;""></span><br/>        <br/>          ——我接力❤️",OPPO R9,0,0,0,True,[],None,5794470669,潜水自带游泳圈,False,None,-1,为什么我潜不下去呀！！！,f,16,87,13,9,3,350
4020618775723940,乔任梁自己玩sm性窒息死亡，自己活该。他的脑残粉就不要在这里瞎喷了 ​,微博 weibo.com,0,0,0,False,[],None,2868902530,丑八怪不许点我头像,False,None,-1,,m,6,2,0,4,0,8
4022479741958556,"请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去坐任意一辆公交车，告诉司机你找不到家人了，公交司机会联系你的家人的。7月1日起，全国公交正式成为中国失联转起，大爱绽放～请接力！真要都接力起来能帮助多少走丢的孩子[强][强][强]毋以善小而不为，我接力！[爱心] <a data-url=""http://t.cn/R2WxuWH"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4022479741958556&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F1001018008651012400000000"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">成都·郫县</a> ​",vivo X5·K歌之王,0,0,1,False,"[u'006pi6Jngw1f828ienyx9j30qo0zk101', u'006pi6Jngw1f828ihnjfmj30hs0hsgod']","{u'type': u'Point', u'coordinates': [30.7496, 104.02528]}",5870521173,九队侬社,False,None,-1,赚钱不是目的，生活才是根本！,m,20,77,0,9,0,74
4022096730154304,请告诉您的孩子：在外面，找不到爸爸妈妈的时候，不要慌乱，去坐任意一辆公交车，告诉司机你找不到家人了，公交司机会联系你的家人的7月1日起，全国公交正式成为中国失联儿童安全守护车！公交驾驶员就是失散儿童守护人！只要孩子上了公交车，即便暂时与家长失去联系，孩子也不会被拐卖或出现意外请接力 ​,HUAWEI Mate S,0,0,0,False,[u'863846f4gw1f810jgiv62j21410qotey'],None,2251835124,Queen群的食光色彩,False,None,-1,,f,64,126,0,9,0,453
